Store,prev_7d_actual,forecast_7d_total,pct_change,StoreType,CompetitionDistance,health_tier
1,30542.0,23898.044189453125,-21.753506026281432,c,1270.0,Performing Well
2,32843.0,24505.271240234375,-25.386623511145828,a,570.0,Performing Well
3,45750.0,33563.30078125,-26.637593920765028,a,14130.0,Performing Well
4,66305.0,54932.8759765625,-17.151231465858533,c,620.0,Monitor
5,30836.0,21686.611083984375,-29.67112763009348,a,29910.0,Performing Well
6,29170.0,22176.069091796875,-23.97645151937993,a,310.0,Performing Well
7,72763.0,54141.57373046875,-25.5918891050826,a,24000.0,Performing Well
8,42685.0,31840.796875,-25.405184783881925,a,7520.0,Performing Well
9,48610.0,36663.0068359375,-24.577233417120965,a,2030.0,Performing Well
10,36960.0,33588.37451171875,-9.122363334094292,a,3160.0,Performing Well
11,46642.0,38958.2626953125,-16.473858978361775,a,960.0,Performing Well
12,50425.0,40093.6923828125,-20.488463296355974,a,1070.0,Performing Well
13,42223.0,27674.2138671875,-34.45701663267059,d,310.0,Monitor
14,33151.0,25729.6611328125,-22.386470595721093,a,1300.0,Monitor
15,47443.0,35891.15185546875,-24.34889898305598,d,4110.0,Performing Well
16,55988.0,43908.1904296875,-21.57571188524773,a,3270.0,Performing Well
17,43345.0,30146.586669921875,-30.44967892508507,a,50.0,Performing Well
18,47440.0,36032.19873046875,-24.046798628860138,d,13840.0,Monitor
19,43920.0,32516.25732421875,-25.964805728099382,a,3240.0,Performing Well
20,61427.0,46061.0517578125,-25.014974265693425,d,2340.0,Performing Well
21,47250.0,32384.29150390625,-31.461816922949737,c,550.0,Performing Well
22,34217.0,25689.0400390625,-24.923166732727882,a,1040.0,Performing Well
23,37995.0,28579.142578125,-24.781832930319776,d,4060.0,Performing Well
24,66132.0,48906.404296875,-26.04729284329069,a,4590.0,Performing Well
25,65935.0,52728.5078125,-20.029562732236293,c,430.0,Performing Well
26,47830.0,35755.40869140625,-25.244807251920864,d,2300.0,Performing Well
27,62199.0,44946.41796875,-27.73771609069278,a,60.0,Performing Well
28,34315.0,22832.008056640625,-33.46347644866494,a,1200.0,Performing Well
29,51207.0,40589.015625,-20.73541581229129,d,2170.0,Monitor
30,26881.0,20201.686767578125,-24.847711143268015,a,40.0,Performing Well
31,39135.0,31141.42578125,-20.42564001213747,d,9800.0,Performing Well
32,31201.0,22265.8671875,-28.637328330822733,a,2910.0,Performing Well
33,51285.0,43495.001953125,-15.189622788095935,a,1320.0,Performing Well
34,54777.0,45291.7021484375,-17.316205435789655,c,2240.0,Performing Well
35,65308.0,52116.7265625,-20.198556742665524,d,7660.0,Performing Well
36,70597.0,57279.3056640625,-18.86439131398997,a,540.0,Performing Well
37,48400.0,36531.97509765625,-24.520712608148244,c,4230.0,Performing Well
38,41588.0,31633.15771484375,-23.9368141895649,d,1090.0,Performing Well
39,34938.0,23667.946533203125,-32.257294254956996,a,260.0,Monitor
40,29824.0,25465.7763671875,-14.613142545642772,a,180.0,Performing Well
41,38034.0,30834.8525390625,-18.928189149017985,d,1180.0,Performing Well
42,63091.0,49688.0322265625,-21.243866436476676,a,290.0,Monitor
43,40965.0,31284.9404296875,-23.630073404888318,d,4880.0,Performing Well
44,34569.0,24974.78515625,-27.753810766148863,a,540.0,Performing Well
45,36487.0,29276.54736328125,-19.76170317296229,d,9710.0,Performing Well
46,43350.0,27916.6748046875,-35.60167288422722,c,1200.0,Performing Well
47,46559.0,36544.37060546875,-21.509545725920336,a,270.0,Performing Well
48,20910.0,16463.00634765625,-21.267305845737685,a,1060.0,Performing Well
49,57554.0,44131.05712890625,-23.32234574676608,d,18010.0,Performing Well
50,32154.0,24214.038330078125,-24.693542545008007,d,6260.0,Performing Well
51,49437.0,40123.43798828125,-18.839254023744868,a,10570.0,Performing Well
52,45661.0,35504.60595703125,-22.243039011341736,d,450.0,Performing Well
53,36271.0,27241.78369140625,-24.893761706580324,a,30360.0,Performing Well
54,58185.0,43625.46533203125,-25.022831774458627,d,7170.0,Performing Well
55,32531.0,23996.357421875,-26.23541415303864,a,720.0,Performing Well
56,55364.0,46705.78369140625,-15.638711633179955,d,6620.0,Performing Well
57,63464.0,45462.126953125,-28.365487594344824,d,420.0,Performing Well
58,51294.0,39145.2431640625,-23.68455732822065,a,7340.0,Performing Well
59,34774.0,26126.710693359375,-24.867111366655045,a,2840.0,Monitor
60,62621.0,43978.2177734375,-29.77081526414861,d,5540.0,Performing Well
61,37183.0,29607.67431640625,-20.373089001946454,a,350.0,Monitor
62,40751.0,31711.11865234375,-22.183213535020613,a,2050.0,Performing Well
63,55287.0,41125.6982421875,-25.61416202328305,c,3700.0,Performing Well
64,75360.0,57728.3701171875,-23.396536468700237,d,22560.0,Performing Well
65,36107.0,25329.6650390625,-29.848325701214446,a,13840.0,Performing Well
66,44393.0,35674.634765625,-19.639053982328296,d,7660.0,Performing Well
67,63533.0,45356.70849609375,-28.609213328358884,a,410.0,Performing Well
68,52343.0,46675.6259765625,-10.82737715346369,a,250.0,Performing Well
69,61453.0,48553.58544921875,-20.99069947892088,c,1130.0,Performing Well
70,47709.0,36587.576171875,-23.310955643851266,c,4840.0,Performing Well
71,60368.0,44063.83251953125,-27.00796362388807,a,17500.0,Performing Well
72,32814.0,21675.243896484375,-33.94513349032616,a,2200.0,Performing Well
73,29510.0,23353.7685546875,-20.861509472424604,a,1650.0,Performing Well
74,38731.0,29131.75146484375,-24.78440663849694,a,330.0,Performing Well
75,41918.0,35762.8369140625,-14.683818612380122,d,22440.0,Performing Well
76,65053.0,49319.06494140625,-24.186332772652683,d,19960.0,Performing Well
77,54677.0,43938.615234375,-19.639674388911242,d,1090.0,Performing Well
78,26005.0,18522.348388671875,-28.77389583283263,a,3510.0,Performing Well
79,41606.0,30320.11474609375,-27.125619511383576,a,3320.0,Performing Well
80,56151.0,44673.92333984375,-20.43966565182499,d,7910.0,Performing Well
81,51890.0,42991.93505859375,-17.147937832735114,a,2370.0,Performing Well
82,58470.0,44043.0419921875,-24.674120074931587,a,22390.0,Performing Well
83,22500.0,17483.564208984375,-22.295270182291667,a,2710.0,Performing Well
84,82653.0,68008.2919921875,-17.718301825478207,a,11810.0,Performing Well
85,54538.0,51137.23046875,-6.235596338791302,b,1870.0,Monitor
86,28219.0,21705.261962890625,-23.0828095861277,a,480.0,Performing Well
87,37918.0,29642.45654296875,-21.82484165048592,a,560.0,Performing Well
88,40061.0,29207.461669921875,-27.092529717376312,a,10690.0,Monitor
89,40865.0,33259.22509765625,-18.61195375588829,a,2380.0,Performing Well
90,53982.0,43025.60546875,-20.296384963969473,a,330.0,Monitor
91,36825.0,25068.2880859375,-31.92589793363883,c,2410.0,Performing Well
92,43827.0,31719.82666015625,-27.624919204699726,c,240.0,Performing Well
93,35818.0,27052.6728515625,-24.4718497639106,a,16690.0,Performing Well
94,49327.0,36015.26708984375,-26.986706895120825,d,14620.0,Performing Well
95,48029.0,34666.134765625,-27.822493148670596,a,1890.0,Performing Well
96,39010.0,25623.471435546875,-34.31563333620386,a,8780.0,Performing Well
97,47257.0,35078.64306640625,-25.77048253929312,d,8980.0,Performing Well
98,36762.0,29113.55126953125,-20.805311817824794,d,15140.0,Performing Well
99,39532.0,29978.6767578125,-24.166050901010575,c,2030.0,Performing Well
100,58435.0,46742.40185546875,-20.009580122411656,d,17930.0,Performing Well
101,53036.0,41444.609375,-21.85570296590995,d,2440.0,Performing Well
102,48507.0,33619.1669921875,-30.692133110298514,a,150.0,Performing Well
103,28649.0,24789.787353515625,-13.47067138987181,d,5210.0,Performing Well
104,64361.0,56070.3046875,-12.881551424775871,a,390.0,Performing Well
105,36204.0,25884.585205078125,-28.503521143856688,a,6190.0,Performing Well
106,53536.0,44937.9736328125,-16.060270410915084,a,1390.0,Performing Well
107,48234.0,43420.517578125,-9.979438615654933,a,1930.0,Performing Well
108,86391.0,70660.9814453125,-18.20793665391939,d,2190.0,Performing Well
109,40124.0,34187.0751953125,-14.79644303830002,a,3300.0,Performing Well
110,35104.0,25715.824951171875,-26.743889724328067,a,46590.0,Performing Well
111,48127.0,36841.81884765625,-23.44875257619164,d,7890.0,Performing Well
112,40155.0,36240.21484375,-9.749184799526834,a,1630.0,Performing Well
113,41482.0,32590.4619140625,-21.434689952117786,d,20930.0,Performing Well
114,35768.0,27086.00341796875,-24.273083711784977,c,4510.0,Performing Well
115,57855.0,47126.498046875,-18.54377660206551,d,5740.0,Performing Well
116,43080.0,37250.12451171875,-13.532672906873838,a,680.0,Performing Well
117,22728.0,17588.225830078125,-22.614282690610153,a,3450.0,Performing Well
118,58741.0,44653.79052734375,-23.981902713021995,d,3580.0,Performing Well
119,37357.0,29950.8740234375,-19.82526963236475,a,2100.0,Performing Well
120,51739.0,39773.70068359375,-23.126267064315602,d,2290.0,Performing Well
121,27127.0,20632.086669921875,-23.942615586235576,a,3570.0,Performing Well
122,74988.0,59543.421875,-20.59606620392596,a,58260.0,Monitor
123,56416.0,41734.97314453125,-26.022807103425887,a,16760.0,Performing Well
