Store,forecast_mape,anomaly_rate,anomaly_count_90d,avg_sentiment,dominant_theme,health_score,tier,explanation
1,7.339208316669746,0.0,0,0.445560896396637,Staff,81.6,Performing Well,Forecasts are reliable.
2,10.693718908317472,0.0,0,0.5922318816184997,Pricing,81.2,Performing Well,Forecasts are moderately reliable.
3,7.613826440807495,0.0,0,0.9930956562360128,Staff,92.2,Performing Well,"Forecasts are reliable, but reviews are positive, largely about staff."
4,8.884719625963037,0.0666666666666666,5,0.3340668082237243,Pricing,69.8,Monitor,"Forecasts are reliable, but 5 anomalous sales days in the last quarter; negative feedback about pricing suggests an issue worth investigating."
5,10.093427461618418,0.0,0,0.5566034615039825,Staff,81.0,Performing Well,Forecasts are moderately reliable.
6,7.241822893142288,0.0133333333333333,1,0.2003592371940613,Stock Availability,75.2,Performing Well,"Forecasts are reliable, but 1 anomalous sales day(s) recently; negative feedback about stock availability suggests an issue worth investigating."
7,8.496537320282979,0.0133333333333333,1,0.7495559006929398,Pricing,84.9,Performing Well,"Forecasts are reliable, but 1 anomalous sales day(s) recently; reviews are positive, largely about pricing."
8,7.83319882105903,0.0666666666666666,5,0.6666812698046366,Cleanliness,77.5,Performing Well,"Forecasts are reliable, but 5 anomalous sales days in the last quarter."
9,8.811619313584947,0.0405405405405405,3,0.2524500886599223,Cleanliness,71.4,Performing Well,"Forecasts are reliable, but 3 anomalous sales days in the last quarter; negative feedback about cleanliness suggests an issue worth investigating."
10,11.838492195878388,0.04,3,0.5923604965209961,Pricing,75.2,Performing Well,"Forecasts are moderately reliable, but 3 anomalous sales days in the last quarter."
11,9.257210680382697,0.0,0,0.5889028072357178,Staff,82.5,Performing Well,Forecasts are reliable.
12,10.171860394611873,0.0133333333333333,1,0.5568686574697495,Stock Availability,79.4,Performing Well,"Forecasts are moderately reliable, but 1 anomalous sales day(s) recently."
13,15.69915732907314,0.0135135135135135,1,0.2456347465515136,Stock Availability,67.6,Monitor,"Forecasts are moderately reliable, but 1 anomalous sales day(s) recently; negative feedback about stock availability suggests an issue worth investigating."
14,6.100259532544095,0.0945945945945946,7,0.333154817422231,Pricing,69.2,Monitor,"Forecasts are reliable, but 7 anomalous sales days in the last quarter; negative feedback about pricing suggests an issue worth investigating."
15,7.330838495042722,0.0,0,0.666573146979014,Staff,86.0,Performing Well,Forecasts are reliable.
16,7.5373337638212385,0.0135135135135135,1,0.5954028964042664,Cleanliness,82.7,Performing Well,"Forecasts are reliable, but 1 anomalous sales day(s) recently."
17,10.043574157385438,0.0133333333333333,1,0.739981472492218,Cleanliness,83.2,Performing Well,"Forecasts are moderately reliable, but 1 anomalous sales day(s) recently; reviews are positive, largely about cleanliness."
18,7.517381784079288,0.08,6,0.33835502465566,Staff,69.6,Monitor,"Forecasts are reliable, but 6 anomalous sales days in the last quarter; negative feedback about staff suggests an issue worth investigating."
19,7.245518518619469,0.027027027027027,2,0.3272519508997599,Cleanliness,76.1,Performing Well,"Forecasts are reliable, but 2 anomalous sales day(s) recently; negative feedback about cleanliness suggests an issue worth investigating."
20,10.098627760736534,0.0,0,0.4344020634889602,Cleanliness,78.6,Performing Well,Forecasts are moderately reliable.
21,9.977685986708446,0.0,0,0.0757485032081604,Cleanliness,71.5,Performing Well,"Forecasts are reliable, but negative feedback about cleanliness suggests an issue worth investigating."
22,9.255207170751872,0.0405405405405405,3,0.3951749086380005,Staff,73.8,Performing Well,"Forecasts are reliable, but 3 anomalous sales days in the last quarter; negative feedback about staff suggests an issue worth investigating."
23,8.182124361382526,0.0135135135135135,1,0.6028775215148926,Staff,82.3,Performing Well,"Forecasts are reliable, but 1 anomalous sales day(s) recently."
24,8.356634415742693,0.027027027027027,2,0.6025196790695191,Pricing,80.5,Performing Well,"Forecasts are reliable, but 2 anomalous sales day(s) recently."
